,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,X_pca,Y_pca,x_jitter,y_jitter
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.820708041636093,-0.41583879456352557,0.6132239214940366,-0.27635061626436597
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.381124985892942,0.9637943568185587,0.29633217495790304,0.9757083530273537
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.34121377449684803,0.5280617336341856,-0.3365989394181633,0.5808432269130733
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-1.0371059098816586,-0.2043939644564387,-0.9068103676202512,-0.2579695895857869
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,-0.844989359006122,0.16678092803862898,-1.00844754203766,0.18043647015820516
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,0.7570714061419798,0.23164476108956406,0.9445435175712547,0.15892809715118045
52,Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.7570714061419798,0.23164476108956406,0.7542264300055962,0.12345110593472136
53,Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.381124985892942,0.9637943568185587,0.19973922791507961,1.0032971051618957
54,Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.7570714061419798,0.23164476108956406,0.7286924219717377,0.16969964438271493
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.6611594896326208,-0.9365435601854335,-0.7449108065264972,-0.8385883527001099
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.3704904742826703,0.6810090180525765,0.44640101863825926,0.6488926633479305
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.5333303253723847,0.15688684113911794,-0.6687627699030452,0.29534410410306333
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.0371059098816586,-0.2043939644564387,-0.9973521353695342,-0.35530974946254423
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.1714154532548698,0.8064985041596298,0.22013838078264497,1.0776675716756081
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.844989359006122,0.16678092803862898,-0.7528079913100274,0.2814617714379869
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,-0.844989359006122,0.16678092803862898,-0.7487163520888107,0.24003159744560965
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.1714154532548698,0.8064985041596298,0.15801549727959704,0.8360042118672347
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,-1.0371059098816586,-0.2043939644564387,-0.9720987025369258,-0.023725238204535953
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1.5324122904156114,-0.26289151014513457,1.5108989302668485,-0.4538179021405343
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.5147302213150788,-0.17868199729144346,1.605109969682422,-0.17165667489517691
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,-0.844989359006122,0.16678092803862898,-0.8782822082139008,0.28068662882643597
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,-0.844989359006122,0.16678092803862898,-0.7439449248894384,0.26196272555698186
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.844989359006122,0.16678092803862898,-0.9450232769200627,0.2816830251932441
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,-1.0371059098816586,-0.2043939644564387,-0.9887716812501104,-0.2423259224223595
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.1421387534690475,0.4025722475271324,-0.11229084289861467,0.44748800751499235
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.23380766677999024,-0.32957734820186235,0.3898185366975435,-0.4024929172101341
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,-0.46904293875708425,-0.5653686676903658,-0.574008438652148,-0.731975210614558
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.844989359006122,0.16678092803862898,-0.8221394591807707,0.24429586514533017
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,-0.14853026188090301,-0.6581067896599893,-0.15763252738072547,-0.8079854652108029
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.5473618735039075,0.07434890843063502,0.5910116025133657,-0.019786776626922964
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0.1714154532548698,0.8064985041596298,0.025899195472775527,0.8161119286214135
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0.9731297730229518,-0.17437697347169712,0.9798554114933871,-0.12425819518039885
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.844989359006122,0.16678092803862898,-0.6478200049757481,0.2685117659682834
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.3050206886770066,-0.33597784995037255,1.3925941317479615,-0.41277313795326914
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,-0.46904293875708425,-0.5653686676903658,-0.30148445127751455,-0.5828033024196864
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,-0.6611594896326208,-0.9365435601854335,-0.6519403880633139,-0.9543782743206549
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.844989359006122,0.16678092803862898,-0.8833076499223173,0.21464713171911698
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,0.04169111590445368,-0.7007522406969301,0.1361729929573008,-0.8442578015654474
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.3042313478811242,0.7703871137880074,0.20147931598326768,0.8690402521098968
